SystemCodeNumber,Occupancy,Capacity,QueueLength,IsSpecialDay,rate,PriceLevel_Model2,Timestamp
BHMBCCMKT01,61,577,1,0,0.10571923743500866,Low,04-10-2016 07:59:00
BHMBCCMKT01,64,577,1,0,0.11091854419410745,Low,04-10-2016 08:25:00
BHMBCCMKT01,80,577,2,0,0.1386481802426343,Low,04-10-2016 08:59:00
BHMBCCMKT01,107,577,2,0,0.1854419410745234,Low,04-10-2016 09:32:00
BHMBCCMKT01,150,577,2,0,0.25996533795493937,Low,04-10-2016 09:59:00
BHMBCCMKT01,177,577,3,0,0.30675909878682844,Medium,04-10-2016 10:26:00
BHMBCCMKT01,219,577,6,0,0.37954939341421146,Medium,04-10-2016 10:59:00
BHMBCCMKT01,247,577,5,0,0.42807625649913345,Medium,04-10-2016 11:25:00
BHMBCCMKT01,259,577,5,0,0.4488734835355286,Medium,04-10-2016 11:59:00
BHMBCCMKT01,266,577,8,0,0.4610051993067591,Medium,04-10-2016 12:29:00
BHMBCCMKT01,269,577,7,0,0.4662045060658579,Medium,04-10-2016 13:02:00
BHMBCCMKT01,263,577,7,0,0.4558058925476603,Medium,04-10-2016 13:29:00
BHMBCCMKT01,238,577,5,0,0.4124783362218371,Medium,04-10-2016 14:02:00
BHMBCCMKT01,215,577,3,0,0.37261698440207974,Medium,04-10-2016 14:29:00
BHMBCCMKT01,192,577,3,0,0.3327556325823224,Medium,04-10-2016 14:57:00
BHMBCCMKT01,165,577,2,0,0.28596187175043325,Low,04-10-2016 15:30:00
BHMBCCMKT01,162,577,1,0,0.2807625649913345,Low,04-10-2016 16:04:00
BHMBCCMKT01,143,577,2,0,0.24783362218370883,Low,04-10-2016 16:31:00
BHMBCCMKT01,54,577,1,0,0.09358752166377816,Low,05-10-2016 07:57:00
BHMBCCMKT01,59,577,1,0,0.1022530329289428,Low,05-10-2016 08:30:00
BHMBCCMKT01,71,577,2,0,0.12305025996533796,Low,05-10-2016 09:04:00
BHMBCCMKT01,83,577,2,0,0.1438474870017331,Low,05-10-2016 09:30:00
BHMBCCMKT01,114,577,3,0,0.1975736568457539,Low,05-10-2016 10:04:00
BHMBCCMKT01,128,577,4,0,0.2218370883882149,Low,05-10-2016 10:30:00
BHMBCCMKT01,148,577,4,0,0.2564991334488735,Low,05-10-2016 11:04:00
BHMBCCMKT01,162,577,4,0,0.2807625649913345,Low,05-10-2016 11:30:00
BHMBCCMKT01,178,577,6,0,0.30849220103986136,Medium,05-10-2016 12:04:00
BHMBCCMKT01,183,577,7,0,0.317157712305026,Medium,05-10-2016 12:30:00
BHMBCCMKT01,175,577,7,0,0.30329289428076256,Medium,05-10-2016 12:57:00
BHMBCCMKT01,179,577,6,0,0.31022530329289427,Medium,05-10-2016 13:30:00
BHMBCCMKT01,174,577,4,0,0.30155979202772965,Medium,05-10-2016 13:57:00
BHMBCCMKT01,158,577,5,0,0.2738301559792028,Low,05-10-2016 14:30:00
BHMBCCMKT01,145,577,3,0,0.2512998266897747,Low,05-10-2016 14:57:00
